ID,Bin No,SKU,Batch No,CFC,Description,UOM,Created At,Updated At,Expire Days
131,D32,FXC40010SA,Z14NOV25,8,"48900 BINGO! CHIPS RS.10 MASALA",2.820,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
132,D32,FXC40020S,Z14NOV25,15,"48898 BINGO! CHIPS RS.20 MASALA",2.304,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
133,D32,FXC70010S,Z21NOV25,30,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
134,D32,FXC73010S,Z21NOV25,90,"FXC73010S",2.000,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
135,D32,FXC74010S,Z20NOV25,37,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
136,D33,FXC71010S,Z17NOV25,150,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
137,D34,FXC71010S,Z17NOV25,120,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
138,E01,FXC20005SC,Z25NOV25,210,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
139,E02,FXC20005SC,Z25NOV25,210,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
140,E03,FXC20005SC,Z25NOV25,140,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
141,E04,FXC30005SLA,Z25NOV25,96,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:58 GMT+0530 (India Standard Time),
142,E05,FXC30005SLA,Z07NOV25,206,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
143,E06,FXC30005SLA,Z07NOV25,210,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
144,E06,FXC71010S,Z30OCT25,20,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
145,E08,FXC30005SLA,Z07NOV25,240,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
146,E09,FXC30005SLA,Z07NOV25,270,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
147,E09,FXC70010S,Z20NOV25,30,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
148,E10,FXC70010S,Z13NOV25,12,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
149,E11,FXC40005SL,Z04NOV25,240,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
150,E12,FXC50005S,Z24NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
151,E13,FXC170010S,Z03NOV25,94,"48991 BINGO! CHIPS RS.10 HNS KOREANSTYLE",2.820,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
152,E13,FXC30005SLA,Z01NOV25,10,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
153,E14,FXC50005S,Z24NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
154,E15,FXC40005SL,Z04NOV25,240,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
155,E16,FXC40005SL,Z04NOV25,240,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
156,E17,FXC40005SL,Z04NOV25,154,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
157,E18,FXC10005SLA,Z04NOV25,240,"48560 BINGO! CHIPS RS.5 SALTED",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
158,E19,FXC70010S,Z21NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
159,E20,FXC70010S,Z21NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
160,E21,FXC70010S,Z21NOV25,121,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
161,E24,FXC10005SLA,Z04NOV25,129,"48560 BINGO! CHIPS RS.5 SALTED",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
162,E24,FXC70010S,Z18NOV25,20,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
163,E24,FXC70051S,Z21NOV25,22,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
164,E25,FXC170005S,Z04NOV25,90,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
165,E25,FXC71010S,Z30OCT25,23,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
166,E25,FXC72030SA,Z22SEP25,19,"48121 BINGO! OS RS.30 CRM&ONION",2.935,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
167,E25,FXC74010S,Z13NOV25,1,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:56:59 GMT+0530 (India Standard Time),
168,E26,FXC30005SLA,Z14NOV25,13,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
169,E26,FXC71010S,Z30OCT25,41,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
170,E26,FXC71051S,Z17NOV25,114,"48109 BINGO! OS RS.50 SALT",3.809,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
171,E29,FXC50005S,Z15NOV25,169,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
172,E30,FXC70010S,Z22OCT25,7,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
173,E30,FXC71010S,Z17NOV25,240,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
174,E30,FXC74010S,Z19NOV25,30,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
175,E31,FXC30020SA,Z14NOV25,37,"48380 BINGO! CHIPS RS.20 TOMATO",2.304,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
176,E31,FXC74010S,Z13NOV25,150,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
177,E33,FXC40005SL,Z03NOV25,2,"48890 BINGO! CHIPS RS.5 MASALA",2.688,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
178,E33,FXC70010S,Z21NOV25,270,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
179,E33,FXC74010S,Z19NOV25,30,"48126 BINGO! OS RS.10 HNS KOREAN STYLE",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
180,E33,FXC75010SA,Z10NOV25,17,"FXC75010SA",2.000,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
181,E34,FXC70020SB,Z21NOV25,30,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
182,E34,FXC72030SA,Z22SEP25,201,"48121 BINGO! OS RS.30 CRM&ONION",2.935,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
183,E35,FXC20005SC,Z06NOV25,240,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
184,E36,FXC50005S,Z25NOV25,180,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
185,E38,FXC170005S,Z04NOV25,240,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
186,E39,FXC10005SLA,Z25OCT25,75,"48560 BINGO! CHIPS RS.5 SALTED",2.688,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
187,E39,FXC30020SA,Z15NOV25,28,"48380 BINGO! CHIPS RS.20 TOMATO",2.304,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
188,E39,FXC60005S,Z14NOV25,15,"FXC60005S",2.000,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
189,E40,FXC71010S,Z22NOV25,240,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
190,E41,FXC30020SA,Z31OCT25,15,"48380 BINGO! CHIPS RS.20 TOMATO",2.304,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
191,E41,FXC70020SB,Z21NOV25,8,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
192,E41,FXC70051S,Z21NOV25,1,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
193,E41,FXC71010S,Z17NOV25,11,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
194,E41,FXC71020SA,Z21NOV25,18,"48112 BINGO! OS RS.20 SALT SPRINKLED",2.203,Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:00 GMT+0530 (India Standard Time),
195,E41,FXC74020SA,Z19NOV25,90,"48127 BINGO! OS RS.20 HNS KOREAN STYLE",2.150,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
196,F01,FXC170005S,Z04NOV25,240,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
197,F02,FXC70010S,Z22NOV25,270,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
198,F03,FXC50005S,Z24NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
199,F04,FXC30005SLA,Z25NOV25,240,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
200,F06,FXC30005SLA,Z25NOV25,240,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
201,F06,FXC70010S,Z21NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
202,F07,FXC30005SLA,Z25NOV25,240,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
203,F08,FXC70010S,Z21NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
204,F09,FXC70010S,Z21NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
205,F10,FXC30010SA,Z25NOV25,128,"48340 BINGO! CHIPS RS.10 TOMATO",2.820,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
206,F10,FXC71010S,Z30OCT25,11,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
207,F11,FXC70010S,Z22NOV25,240,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
208,F12,FXC30005SLA,Z01NOV25,213,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
209,F13,FXC50005S,Z24NOV25,42,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
210,F13,FXC70020SB,Z12NOV25,79,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
211,F14,FXC50005S,Z15NOV25,132,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
212,F14,FXC70010S,Z22NOV25,60,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
213,F14,FXC71010S,Z30OCT25,21,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
214,F15,FXC50005S,Z15NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
215,F16,FXC70051S,Z21NOV25,240,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
216,F17,FXC170005S,Z03NOV25,98,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
217,F18,FXC170005S,Z03NOV25,240,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
218,F19,FXC10005SLA,Z05NOV25,142,"48560 BINGO! CHIPS RS.5 SALTED",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
219,F21,FXC30005SLA,Z14NOV25,30,"48320 BINGO! CHIPS RS.5 TOMATO",2.688,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
220,F21,FXC70020SB,Z22NOV25,80,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
221,F21,FXC70051S,Z21NOV25,38,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:01 GMT+0530 (India Standard Time),
222,F22,FXC170005S,Z03NOV25,240,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
223,F25,FXC170005S,Z03NOV25,240,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
224,F26,FXC170010S,Z03NOV25,20,"48991 BINGO! CHIPS RS.10 HNS KOREANSTYLE",2.820,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
225,F26,FXC20005SC,Z06NOV25,26,"48180 BINGO! CHIPS RS.5 CRM&ON",2.688,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
226,F26,FXC60005S,Z14NOV25,240,"FXC60005S",2.000,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
227,F27,FXC170010S,Z04NOV25,221,"48991 BINGO! CHIPS RS.10 HNS KOREANSTYLE",2.820,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
228,F27,FXC73010S,Z23OCT25,2,"FXC73010S",2.000,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
229,F28,FXC170010S,Z04NOV25,240,"48991 BINGO! CHIPS RS.10 HNS KOREANSTYLE",2.820,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
230,F29,FXC50005S,Z25NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
231,F30,FXC50005S,Z25NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
232,F31,FXC50005S,Z25NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
233,F32,FXC50005S,Z25NOV25,240,"48901 BINGO CHIPS RS.5 TOMATO & CHILLI",2.688,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
234,F33,FXC70010S,Z18NOV25,270,"48109 BINGO! OS RS.10 CHILLI SPRINKLED",2.568,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
235,F34,FXC71010S,Z17NOV25,180,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
236,F35,FXC70020SB,Z21NOV25,150,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
237,F35,FXC72030SA,Z22SEP25,60,"48121 BINGO! OS RS.30 CRM&ONION",2.935,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
238,F36,FXC70020SB,Z19NOV25,60,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
239,F36,FXC70051S,Z20NOV25,19,"48109 BINGO! OS RS.50 CHILLI SPRINKLED",3.809,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
240,F37,FXC71010S,Z17NOV25,240,"48109 BINGO! OS RS.10 SALT SPRINKLED",2.568,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
241,F38,FXC170005S,Z18OCT25,22,"48990 BINGO! CHIPS RS.5 HNS KOREAN STYLE",2.688,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
242,F38,FXC72030SA,Z22SEP25,210,"48121 BINGO! OS RS.30 CRM&ONION",2.935,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
243,F39,FXC20015S,Z07OCT25,9,"48210 BINGO! CHIPS RS.15 CRM&ON",2.464,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
244,F39,FXC30020SA,Z01NOV25,63,"48380 BINGO! CHIPS RS.20 TOMATO",2.304,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
245,F39,FXC70020SB,Z19NOV25,30,"48110 BINGO! OS RS.20 CHILLI SPRINKLED",2.203,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
246,F40,FXC17005S,Z25NOV25,202,"FXC17005S",2.000,Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),Thu Nov 27 2025 07:57:02 GMT+0530 (India Standard Time),
